,Unnamed: 0,number,year,url,DJ score,WT score,AC score,JO score,AJ score,pdf only?,success,full text index
0,0,0,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065291108601125,,,,,,,0,
1,1,1,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S037673610970305X,,,,,,,0,
2,2,2,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0268005X09803275,,,,,,,1,0
3,3,3,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S006529110860123X,,,,,,,0,
4,4,4,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065237708601933,,,,,,,0,
5,5,5,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167892208710939,,,,,,,0,
6,6,6,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0269857905800255,,,,,,,1,1
7,7,7,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0580951708702423,,,,,,,0,
8,8,8,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065253908605892,,,,,,,0,
9,9,9,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S002196730189275X,,,,,,,1,2
10,10,10,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065291108601216,,,,,,,0,
11,11,11,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0040609005800616,,,,,,,1,3
12,12,12,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065216408702429,,,,,,,0,
13,13,13,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0040402001897520,,,,,,,1,4
14,14,14,1990,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0074769608612085,,0.0,,,0.0,,0,
15,15,15,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109701645,,,,,,,0,
16,16,16,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0958166905801557,,,,,,,1,5
17,17,17,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109701773,,,,,,,0,
18,18,18,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167299108611556,,,,,,,0,
19,19,19,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967300914274,,,,,,,1,6
20,20,20,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0021967301930213,,,,,,,1,7
21,21,21,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065291108600053,,,,,,,0,
22,22,22,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167299108609519,,,,,,,0,
23,23,23,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0003936511800266,,,,,,,0,
24,24,24,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111608703923,,,,,,,0,
25,25,25,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S000785060761138X,,,,,,,1,8
26,26,26,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0898883808600380,,,,,,,0,
27,27,27,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0301477008608519,,,,,,,0,
28,28,28,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109701694,,,,,,,0,
29,29,29,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0958166905801545,,,,,,,1,9
30,30,30,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0277538700812644,,,,,,,1,10
31,31,31,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0079633611801816,,,,,,,0,
32,32,32,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022534717386172,0.0,,,,,,0,
33,33,33,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0954349X05800025,0.0,,,,,,1,11
34,34,34,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111608700797,,,,,,,0,
35,35,35,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111608713797,,,,,,,0,
36,36,36,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0070457108702632,,,,,,,0,
37,37,37,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0070457108702590,,,,,,,0,
38,38,38,1991,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065237708601155,,,,,,,0,
39,39,39,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0277538700802375,,,2.0,,,,1,12
40,40,40,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0301477008615183,,,,,,,0,
41,41,41,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022534717372269,,,,,,,0,
42,42,42,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0070457108705648,,,,,,,0,
43,43,43,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109701360,,,,,,,0,
44,44,44,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1569257408600246,,,,,,,0,
45,45,45,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0360056408600061,,,,,,,0,
46,46,46,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1018363918305531,,,,,,,1,13
47,47,47,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0074614208626923,,,,,,,0,
48,48,48,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0070457108705697,,,,,,,0,
49,49,49,1992,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022113900801761,,,,,,,1,14
50,50,50,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109700469,,,,,,,0,
51,51,51,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0272059083710456,,,,,,,1,15
52,52,52,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109700731,,,,,,,0,
53,53,53,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167892208700166,,,,,,,0,
54,54,54,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109700639,,,,,,,0,
55,55,55,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167299108640070,,,,,,,0,
56,56,56,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167299108644274,,,,,,,0,
57,57,57,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0248866305811634,,,,,,,1,16
58,58,58,1993,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065216408705975,,,,,,,0,
59,59,59,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0257897205800131,,,,,,,1,17
60,60,60,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0257897209900068,,,,,,,1,18
61,61,61,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0040403900782037,,,,,,,1,19
62,62,62,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111608705594,,,,,,,0,
63,63,63,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0277538700834567,,,,,,,1,20
64,64,64,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111608705508,,,,,,,0,
65,65,65,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S016611160870551X,,,,,,,0,
66,66,66,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0166111608705521,,,,,,,0,
67,67,67,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0360056408606562,,,,,,,0,
68,68,68,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S093247391180194X,,,,,,,0,
69,69,69,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0082078406807861,,,,,,,1,21
70,70,70,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0074769608615442,,,,,,,0,
71,71,71,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0070457108704412,,,,,,,0,
72,72,72,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736109702584,,,,,,,0,
73,73,73,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0277538700802557,,,,,,,1,22
74,74,74,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0953756209802001,,,,,,,1,23
75,75,75,1994,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065272508600070,,,,,,,0,
76,76,76,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0168127305801096,,,,,,,0,
77,77,77,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736106800208,,,,,,,0,
78,78,78,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0168127305801102,,,,,,,0,
79,79,79,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0026057605800509,,,,,,,1,24
80,80,80,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0376736106800117,,,,,,,0,
81,81,81,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022030295768849,,,,,,,1,25
82,82,82,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022391305802082,,,,,,,1,26
83,83,83,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0922538205800212,,,,,,,0,
84,84,84,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0012369216342076,,,,,,,1,27
85,85,85,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0737080607805776,,,,,,,1,28
86,86,86,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0079635206800615,,,,,,,0,
87,87,87,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0079635206800573,,,,,,,0,
88,88,88,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1053077005802423,,,,,,,1,29
89,89,89,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0022391305803798,,,,0.0,,,1,30
90,90,90,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0002817715607504,,,,,,,1,31
91,91,91,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0167299106804842,,,,,,,0,
92,92,92,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S006523180860195X,,,,,,,0,
93,93,93,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0301477008605151,,,,,,,0,
94,94,94,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S092751930680015X,,,,,,,0,
95,95,95,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S001138400580005X,,,,,,,1,32
96,96,96,1995,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0168127305801126,,,,,,,0,
97,97,97,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X96000947,,,,,,,1,33
98,98,98,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0921861096800112,,,,,,,0,
99,99,99,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0169433296005557,,,,,,,1,34
100,100,100,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X96000819,,,,,,,1,35
101,101,101,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0300944096006200,,,,,,,1,36
102,102,102,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X96000753,,,,,,,1,37
103,103,103,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X96000595,,,,,,,1,38
104,104,104,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X96000583,,,,,,,1,39
105,105,105,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0009254196000587,,,,,,,1,40
106,106,106,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0896844696900431,,,1.0,,,*,1,41
107,107,107,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378775396023889,,,,,,,1,42
108,108,108,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S000888469685037X,,,,,,,1,43
109,109,109,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X9600087X,,,,,,,1,44
110,110,110,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378775396024809,,,,,,,1,45
111,111,111,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0921861096801105,,,,,,,0,
112,112,112,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0011916496001671,,,,,,,1,46
113,113,113,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0263436896000340,,,,,,,1,47
114,114,114,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0010938X96000807,,,,,,,1,48
115,115,115,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0304389496017980,,,,,,,1,49
116,116,116,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0300944096006637,,,,,,,1,50
117,117,117,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0379677997800707,,,,,,,1,51
118,118,118,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0094576596001129,,,,,,,1,52
119,119,119,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0143749696000140,,,,,,,1,53
120,120,120,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0195670196900390,,,,,,,1,54
121,121,121,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0016236196001354,,,,,,,1,55
122,122,122,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S074907391730278X,,,,,,,0,
123,123,123,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0257897296030253,,,,,,,1,56
124,124,124,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0082495X07800096,,,,,,,0,
125,125,125,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0926860X96002311,,,,,,,1,57
126,126,126,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0026057696800870,,,,,,,1,58
127,127,127,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0958166996800346,0.0,,,,,,1,59
128,128,128,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1341321X96714757,,,,,,,1,60
129,129,129,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1359029496800537,,,,,,,1,61
130,130,130,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1359029496800033,,,,,,,1,62
131,131,131,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S156925829680064X,,,,,,,0,
132,132,132,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0094014305702974,,,,,,,0,
133,133,133,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0927519396800283,,,,,,,0,
134,134,134,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378382096010284,,,,,,,1,63
135,135,135,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0379677997800069,,,,,,,1,64
136,136,136,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0040609096088438,,,,,,,1,65
137,137,137,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0011916496001609,,,,,,,1,66
138,138,138,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0082495X07800084,,,,,,,0,
139,139,139,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378775396024287,,,,,,,1,67
140,140,140,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0012825296000220,,,,,,,1,68
141,141,141,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0002817715615252,,,,,,,1,69
142,142,142,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0378775396800000,,,,,,,1,70
143,143,143,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0082078496801652,,,,,,,1,71
144,144,144,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0065291108601587,,,,,,,0,
145,145,145,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0927519396800167,,,,,,,0,
146,146,146,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0889855305703654,,,,,,,0,
147,147,147,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S1044580396000460,,,,,,,1,72
148,148,148,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0380133096709966,,,,,,,1,73
149,149,149,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0927519396800222,,,,,,,0,
150,150,150,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0109564196800340,,,,,,,1,74
151,151,151,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0013795296000397,,,,,,,1,75
152,152,152,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0074614296800751,,,,,,,0,
153,153,153,1996,https://www-sciencedirect-com.offcampus.lib.washington.edu/science/article/pii/S0148906296000150,,,,,,,1,76
