,0
chlorides,36
chloride,26
amines,16
carboxylic,16
alkanolamines,14
carbon steel,11
carboxylate,8
sodium nitrite,8
aminoacids,7
oxygen,7
methylenic,7
Amines,6
iron,6
carbon-chain,6
poly-carboxylates,6
citrate,5
tartrate,4
hydrogen,4
Carboxylates,4
NaOH,4
nitrogen,4
carboxylates,4
TETA,3
EDTA,3
Ca(OH)2,3
2-methylbutyrate,3
Aminoacids,3
acetate,3
glutamate,3
nitrites,3
DMEA,3
CH2,3
succinate,3
glutarate,3
aspartate,3
–COOH,2
methionine,2
dimethylethanolamine,2
dimethylamine,2
Carboxylate,2
asparagine,2
glutamine,2
Mono-carboxylates,2
cyclohexancarboxylate,2
nickel,2
cobalt,2
fumarate,2
tertiary amines,2
silver,1
Chichester,1
R–COO−,1
Chloride,1
amino-alcohol,1
pivalate,1
nitrite,1
triethanolamine,1
azelate,1
ethylamine,1
−OOC–(CH2)n–COO−,1
borates,1
Table 4,1
carboxylate anion,1
halogen,1
–SO3H,1
suberate,1
Lewis acid,1
MEA,1
molibdates,1
Poly-carboxylates,1
platinum counter-electrode,1
R3–C–COO−,1
unsaturated fatty acid ester of an aliphatic carboxylic acid,1
−500,1
zinc oxide,1
Carbon-chain,1
Plenum,1
oxidrilic,1
Prevenzione e protezione catodica nelle costruzione,1
polycarboxylate,1
–NH2,1
–CH2–R2,1
calcium hydroxide,1
carbon,1
calcium,1
cyclohexylamine,1
quaternary ammonium,1
–OH,1
malate,1
chelating agents,1
−COO–R–COO−,1
mono- and poly-carboxylates,1
–CH–CH2–CH2–R3,1
saturated fatty acid,1
N.S. Berke,1
Outline,1
A.P,1
N. Nakayama,1
–CH–CH2–R3,1
triethylentetramine,1
benzoate,1
MarazzaniAminoalcohol,1
COO−,1
–SH,1
galvanostat,1
monoethanolamine,1
trichloroacetate,1
aspargine,1
Tan,1
alkylic,1
Mono/poly-carboxylate,1
amino-n-butyrate,1
sodium mono-fluoro-phosphate,1
N–R3,1
propylamine,1
Carbon steel,1
CO2,1
halogens,1
sodium monofluorophosphate,1
long chain aminoacids,1
calomel,1
–COO−,1
mono- and poly-carboxylate,1
tertiary alkanolamine,1
mono-carboxylate,1
thin oxide,1
phenylalanine,1
