,0
graphene,318
polypropylene,164
carbon,153
phosphorus,98
epoxy,96
graphite,66
halogen,63
epoxy resin,51
graphene oxide,48
DOPO,38
organophosphate,37
PMMA,32
oxygen,31
polyurethane,30
Li,30
ammonium polyphosphate,28
polystyrene,25
fullerene,25
H,23
CO,22
Phosphorus,22
carbon black,22
DPHP,20
DICY,20
nitrogen,18
montmorillonite,18
silicon,18
polyethylene,17
APP,17
Fenuron,17
phosphate,16
Graphene,16
metal oxide,15
pentaerythritol,14
hydroxide,14
bromine,14
TPHP,14
TCEP,13
Technol,13
red phosphorus,13
Covaci A,12
PER,12
graphene-nanocomposite,11
silica,11
melamine,11
polyamide 6,10
silicate,10
polyolefin,10
BDP,10
graphite oxide,10
Halogen,10
Epoxy,10
TDCIPP,10
organophosphorus,10
BDCIPP,9
polyester,9
Carbon,9
OapPOSS,9
PLA,8
hydrogen,8
C60,8
Schartel B,8
magnesium hydroxide,8
GPA,8
TBOEP,8
diester,7
BCEP,7
amine,7
Polypropylene,7
TBBPA,7
fullerenes,7
phenolic,7
Si,7
PBDE,7
methyl methacrylate,7
silane,7
hydroxyl,6
acrylic acid,6
N,6
MPP,6
poly(methyl methacrylate),6
Sb2O3,6
Co3O4,6
TPP,6
density polyethylene,6
TiO2,6
metal oxides,6
polyolefins,6
polybrominated diphenyl ether,6
poly(vinyl alcohol),6
POSS,6
graphitic carbon nitride,6
diesters,6
melamine polyphosphate,6
hydroxides,6
Organophosphate,6
polyphosphoric acid,6
Ce,6
MnO2,6
zinc,5
PBDEs,5
epoxy resins,5
resorcinol,5
PVC,5
diphenyl phosphate,5
decabromodiphenyl oxide,5
ethylene vinyl acetate,5
MMT,5
antimony,5
Ni2O3,5
phosphorous,5
NiFe,5
DNBP,5
Mn+,5
DPPO,5
polyurea,5
antimony trioxide,5
graphitic,5
polybenzoxazine,5
DDM,5
phenol,5
carbon monoxide,4
organophosphorous,4
Lorenzo A,4
organophosphate esters,4
natural graphite,4
SEBS,4
Br,4
PPA,4
Ge,4
cyanate ester,4
Neels H,4
BBOEHEP,4
halloysite,4
Lu H,4
Academic Edition,4
CO2,4
Organophosphorus,4
DDS,4
Al(OH)3,4
Red phosphorus,4
ethylene-vinyl acetate,4
3.0.CO,4
Ce-MnO2-GNS,4
Table 4,4
nylon 6,4
bisphenol A,4
pristine graphene,4
polylactide,4
polyimide,4
polyphosphamide,4
formaldehyde,4
polyurethane foams,4
organophosphates,4
Silicon,4
aluminium,4
silicates,4
KOH,4
phosphonium,4
PDCP,3
